date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:50	2216/2216	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:26:03%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fteam%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed9cc3.json	(from http://unicaevents.ancorathemes.com/team/)
17:54:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:26:03%20GMT	http://unicaevents.ancorathemes.com/?p=1270	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index3662.html	(from http://unicaevents.ancorathemes.com/team/)
17:54:51	2313/2313	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:26:04%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fteam%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed6c31	(from http://unicaevents.ancorathemes.com/team/)
17:54:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:26:05%20GMT	http://unicaevents.ancorathemes.com/?p=1294	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/indexc804.html	(from http://unicaevents.ancorathemes.com/clients/)
17:54:52	2231/2231	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:26:05%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fclients%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed1fbe.json	(from http://unicaevents.ancorathemes.com/clients/)
17:54:53	2328/2328	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:26:06%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fclients%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed249c	(from http://unicaevents.ancorathemes.com/clients/)
17:54:54	7076/7076	---M--	200	added ('OK')	image/png	etag:%22565c9292-1ba4%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/3docean.png	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/3docean.png	(from http://unicaevents.ancorathemes.com/clients/)
17:54:55	2236/2236	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:26:07%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fcontacts%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed0941.json	(from http://unicaevents.ancorathemes.com/contacts/)
17:54:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:26:08%20GMT	http://unicaevents.ancorathemes.com/?p=1260	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/indexc78f.html	(from http://unicaevents.ancorathemes.com/contacts/)
17:54:55	2333/2333	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:26:09%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fcontacts%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedcab4	(from http://unicaevents.ancorathemes.com/contacts/)
